Year,MetricType,Type,Avg_Download,Median_Download,Avg_Upload,Median_Upload
2019,mean,Cellular,30.264444444444443,29.96,14.852222222222222,14.45
2020,mean,Cellular,30.358333333333334,31.11,14.5625,14.655000000000001
2021,mean,Cellular,37.3575,37.644999999999996,15.045833333333334,14.955
2022,mean,Cellular,42.79416666666667,42.614999999999995,15.513333333333334,15.55
2023,mean,Cellular,54.446666666666665,55.22,17.031666666666666,16.955
2024,mean,Cellular,68.97,71.01,19.543333333333333,19.41
2025,mean,Cellular,85.47888888888889,87.2,22.648888888888887,22.33
2019,median,Cellular,22.66,22.24,9.845555555555556,9.62
2020,median,Cellular,24.4375,25.105,8.751666666666667,8.92
2021,median,Cellular,28.903333333333332,28.89,8.610833333333334,8.59
2022,median,Cellular,32.49583333333334,32.345,9.6875,9.85
2023,median,Cellular,41.19166666666667,41.370000000000005,11.615,11.46
2024,median,Cellular,53.020833333333336,54.735,14.41,14.29
2025,median,Cellular,63.965555555555554,63.59,17.532222222222224,17.14
2019,mean,Fixed,17.93777777777778,17.19,19.356666666666666,18.2
2020,mean,Fixed,21.841666666666665,21.255,23.570833333333333,22.65
2021,mean,Fixed,24.79,24.655,26.5725,26.42
2022,mean,Fixed,31.865833333333335,30.97,33.153333333333336,32.519999999999996
2023,mean,Fixed,39.200833333333335,38.205,39.5075,38.415000000000006
2024,mean,Fixed,73.32333333333334,62.370000000000005,68.99166666666667,57.400000000000006
2025,mean,Fixed,140.70000000000002,141.55,127.42555555555555,127.21
2019,median,Fixed,7.988888888888889,7.43,7.1,6.26
2020,median,Fixed,10.73,9.875,11.5175,10.335
2021,median,Fixed,13.491666666666667,12.965,14.5025,14.25
2022,median,Fixed,22.425833333333333,21.505000000000003,23.70916666666667,22.925
2023,median,Fixed,29.58416666666667,29.14,30.563333333333333,29.86
2024,median,Fixed,48.0325,40.885000000000005,47.91416666666667,40.955
2025,median,Fixed,80.07555555555555,81.22,80.03999999999999,80.96
