Year,Type,AvgDownload,AvgUpload
2019,Cellular,22.66,9.845555555555556
2020,Cellular,24.4375,8.751666666666667
2021,Cellular,28.903333333333332,8.610833333333334
2022,Cellular,32.49583333333334,9.6875
2023,Cellular,41.19166666666667,11.615
2024,Cellular,53.020833333333336,14.41
2025,Cellular,63.965555555555554,17.532222222222224
2019,Fixed,7.988888888888889,7.1
2020,Fixed,10.73,11.5175
2021,Fixed,13.491666666666667,14.5025
2022,Fixed,22.425833333333333,23.70916666666667
2023,Fixed,29.58416666666667,30.563333333333333
2024,Fixed,48.0325,47.91416666666667
2025,Fixed,80.07555555555555,80.03999999999999
