Country,AvgDownload,AvgUpload,MinDownload,MaxDownload,Rank,Type
Russia,67.65448717948718,72.37333333333333,32.23,91.47,1,Fixed
Belarus,50.98833333333334,42.32897435897436,25.93,85.47,2,Fixed
Kyrgyzstan,47.163589743589746,46.04589743589744,13.64,85.32,3,Fixed
Uzbekistan,42.860512820512824,42.03230769230769,4.75,89.67,4,Fixed
Kazakhstan,42.38576923076923,41.98871794871795,17.75,84.51,5,Fixed
Armenia,38.3248717948718,36.38871794871795,15.81,73.89,6,Fixed
Azerbaijan,29.278846153846153,29.778717948717947,5.41,84.84,7,Fixed
Tajikistan,21.665128205128205,20.423461538461538,6.33,40.26,8,Fixed
Azerbaijan,37.695128205128206,11.324358974358974,20.85,69.82,1,Cellular
Kazakhstan,28.270384615384614,10.497948717948718,10.01,67.71,2,Cellular
Armenia,26.367435897435897,10.277564102564103,15.81,60.96,3,Cellular
Kyrgyzstan,23.331923076923076,9.535128205128204,10.47,45.91,4,Cellular
Russia,20.49692307692308,7.447435897435898,12.06,30.57,5,Cellular
Uzbekistan,19.132051282051282,8.46076923076923,6.09,43.77,6,Cellular
Belarus,10.799358974358974,5.601025641025641,7.87,15.62,7,Cellular
Tajikistan,8.014615384615384,4.506666666666667,4.74,13.39,8,Cellular
